答卷编号,IP地址,来源,昵称(微信),性别(微信),城市(微信),分值,开始时间,结束时间,浏览器,操作系统,状态,Q10_与一杯脱脂牛奶相比，一杯全脂牛奶中的钙含量是:
24,112.42.25.208,,,,,5,2019/5/28 21:04,2019/5/28 21:06,Unknown Browser,iPhone iOS 12.2,正常完成,高得多
1,175.167.154.149,,,,,2,2019/5/28 19:02,2019/5/28 19:02,Unknown Browser,iPhone iOS 12.0,正常完成,差不多
2,175.167.138.251,,,,,1,2019/5/28 19:01,2019/5/28 19:02,Chrome 66.0.3359.126,Android Linux 9,正常完成,差不多
3,223.104.176.214,,,,,5,2019/5/28 19:01,2019/5/28 19:02,Chrome 66.0.3359.126,Android Linux 9,正常完成,差不多
4,42.248.58.167,,,,,6,2019/5/28 19:01,2019/5/28 19:03,Chrome 66.0.3359.126,Android Linux 6.0.1,正常完成,差不多
5,113.127.215.136,,,,,3,2019/5/28 19:00,2019/5/28 19:03,Unknown Browser,iPhone iOS 12.1.4,正常完成,差不多
6,175.167.130.140,,,,,7,2019/5/28 19:04,2019/5/28 19:07,Chrome 66.0.3359.126,Android Linux 7.1.1,正常完成,差不多
7,59.46.193.39,,,,,7,2019/5/28 19:05,2019/5/28 19:08,Chrome 66.0.3359.126,Android Linux 7.1.1,正常完成,差不多
8,59.46.193.39,,,,,5,2019/5/28 19:06,2019/5/28 19:08,Unknown Browser,iPhone iOS 12.1.4,正常完成,差不多
9,42.248.41.113,,,,,7,2019/5/28 19:06,2019/5/28 19:08,Chrome 66.0.3359.126,Android Linux 9,正常完成,低得多
10,175.167.146.127,,,,,4,2019/5/28 19:06,2019/5/28 19:08,Unknown Browser,iPhone iOS 12.2,正常完成,差不多
11,223.104.177.123,,,,,6,2019/5/28 19:07,2019/5/28 19:09,Unknown Browser,iPhone iOS 12.2,正常完成,高得多
12,59.46.193.39,,,,,4,2019/5/28 19:07,2019/5/28 19:09,Unknown Browser,iPhone iOS 12.1.2,正常完成,高得多
13,175.167.154.35,,,,,4,2019/5/28 19:07,2019/5/28 19:10,Unknown Browser,iPhone iOS 12.0,正常完成,低得多
14,182.204.174.254,,,,,4,2019/5/28 19:07,2019/5/28 19:10,Unknown Browser,iPhone iOS 12.2,正常完成,差不多
15,59.46.193.39,,,,,3,2019/5/28 19:07,2019/5/28 19:10,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成,差不多
16,59.46.193.39,,,,,6,2019/5/28 19:08,2019/5/28 19:12,Unknown Browser,IPad iOS 12.2,正常完成,差不多
17,182.204.162.220,,,,,6,2019/5/28 21:21,2019/5/28 21:23,Unknown Browser,iPhone iOS 12.1.4,正常完成,差不多
