答卷编号,IP地址,来源,昵称(微信),性别(微信),城市(微信),分值,开始时间,结束时间,浏览器,操作系统,状态,Q8_看看下面的体型: 以下体型中的哪一个增加了患心血管疾病的风险(心血管疾病是描述心脏血管疾病的一个通用术语，例如心绞痛、心脏病、心力衰竭、先天性心脏病和中风) ？
3,36.23.111.143,,,,,3,2019/5/28 18:36,2019/5/28 18:38,Unknown Browser,iPhone iOS 12.2,正常完成,苹果型
4,59.46.193.39,,,,,7,2019/5/28 18:36,2019/5/28 18:38,Chrome 66.0.3359.126,Android Linux 6.0.1,正常完成,苹果型
5,175.167.146.98,,,,,2,2019/5/28 18:37,2019/5/28 18:39,Unknown Browser,iPhone iOS 12.2,正常完成,梨型
6,221.192.180.175,,,,,5,2019/5/28 18:36,2019/5/28 18:39,Unknown Browser,iPhone iOS 12.2,正常完成,苹果型
7,42.248.48.43,,,,,7,2019/5/28 18:37,2019/5/28 18:39,Chrome 66.0.3359.126,Android Linux 9,正常完成,苹果型
8,175.167.138.123,,,,,4,2019/5/28 18:37,2019/5/28 18:39,Chrome 66.0.3359.126,Android Linux 8.0.0,正常完成,苹果型
9,220.195.66.92,,,,,5,2019/5/28 18:37,2019/5/28 18:39,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成,梨型
10,112.64.119.243,,,,,5,2019/5/28 18:37,2019/5/28 18:40,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成,苹果型
11,223.104.176.205,,,,,6,2019/5/28 18:37,2019/5/28 18:40,Unknown Browser,iPhone iOS 12.2,正常完成,苹果型
12,175.167.138.159,,,,,2,2019/5/28 18:36,2019/5/28 18:40,Unknown Browser,iPhone iOS 12.1.4,正常完成,梨型
13,59.46.193.39,,,,,3,2019/5/28 18:38,2019/5/28 18:40,Unknown Browser,IPad iOS 12.1.4,正常完成,不确定
14,223.104.177.112,,,,,6,2019/5/28 18:38,2019/5/28 18:40,Opera,Android Linux 8.0.0,正常完成,苹果型
15,59.46.193.39,,,,,3,2019/5/28 18:39,2019/5/28 18:40,Chrome 66.0.3359.126,Android Linux 6.0.1,正常完成,不确定
16,223.104.176.218,,,,,5,2019/5/28 18:37,2019/5/28 18:40,Unknown Browser,iPhone iOS 12.1.4,正常完成,苹果型
17,113.127.67.179,,,,,8,2019/5/28 18:37,2019/5/28 18:41,Unknown Browser,iPhone iOS 12.2,正常完成,梨型
18,223.104.237.97,,,,,7,2019/5/28 18:38,2019/5/28 18:41,Chrome 66.0.3359.126,Android Linux 9,正常完成,苹果型
19,223.104.176.166,,,,,3,2019/5/28 18:39,2019/5/28 18:41,Chrome 67.0.3396.87,Android Linux 6.0,正常完成,梨型
20,59.46.193.39,,,,,6,2019/5/28 18:36,2019/5/28 18:41,Unknown Browser,IPad iOS 11.2,正常完成,苹果型
21,220.195.65.109,,,,,4,2019/5/28 18:37,2019/5/28 18:41,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成,苹果型
22,175.167.138.141,,,,,10,2019/5/28 18:37,2019/5/28 18:42,Safari 12.0,iPhone iOS 12.1.3,正常完成,苹果型
23,175.167.154.209,,,,,5,2019/5/28 18:38,2019/5/28 18:42,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成,苹果型
24,112.42.25.208,,,,,5,2019/5/28 21:04,2019/5/28 21:06,Unknown Browser,iPhone iOS 12.2,正常完成,梨型
1,175.167.154.149,,,,,2,2019/5/28 19:02,2019/5/28 19:02,Unknown Browser,iPhone iOS 12.0,正常完成,苹果型
2,175.167.138.251,,,,,1,2019/5/28 19:01,2019/5/28 19:02,Chrome 66.0.3359.126,Android Linux 9,正常完成,不确定
3,223.104.176.214,,,,,5,2019/5/28 19:01,2019/5/28 19:02,Chrome 66.0.3359.126,Android Linux 9,正常完成,苹果型
4,42.248.58.167,,,,,6,2019/5/28 19:01,2019/5/28 19:03,Chrome 66.0.3359.126,Android Linux 6.0.1,正常完成,苹果型
5,113.127.215.136,,,,,3,2019/5/28 19:00,2019/5/28 19:03,Unknown Browser,iPhone iOS 12.1.4,正常完成,苹果型
6,175.167.130.140,,,,,7,2019/5/28 19:04,2019/5/28 19:07,Chrome 66.0.3359.126,Android Linux 7.1.1,正常完成,苹果型
7,59.46.193.39,,,,,7,2019/5/28 19:05,2019/5/28 19:08,Chrome 66.0.3359.126,Android Linux 7.1.1,正常完成,苹果型
8,59.46.193.39,,,,,5,2019/5/28 19:06,2019/5/28 19:08,Unknown Browser,iPhone iOS 12.1.4,正常完成,梨型
9,42.248.41.113,,,,,7,2019/5/28 19:06,2019/5/28 19:08,Chrome 66.0.3359.126,Android Linux 9,正常完成,苹果型
10,175.167.146.127,,,,,4,2019/5/28 19:06,2019/5/28 19:08,Unknown Browser,iPhone iOS 12.2,正常完成,苹果型
11,223.104.177.123,,,,,6,2019/5/28 19:07,2019/5/28 19:09,Unknown Browser,iPhone iOS 12.2,正常完成,苹果型
12,59.46.193.39,,,,,4,2019/5/28 19:07,2019/5/28 19:09,Unknown Browser,iPhone iOS 12.1.2,正常完成,苹果型
13,175.167.154.35,,,,,4,2019/5/28 19:07,2019/5/28 19:10,Unknown Browser,iPhone iOS 12.0,正常完成,苹果型
14,182.204.174.254,,,,,4,2019/5/28 19:07,2019/5/28 19:10,Unknown Browser,iPhone iOS 12.2,正常完成,苹果型
15,59.46.193.39,,,,,3,2019/5/28 19:07,2019/5/28 19:10,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成,不确定
16,59.46.193.39,,,,,6,2019/5/28 19:08,2019/5/28 19:12,Unknown Browser,IPad iOS 12.2,正常完成,苹果型
17,182.204.162.220,,,,,6,2019/5/28 21:21,2019/5/28 21:23,Unknown Browser,iPhone iOS 12.1.4,正常完成,苹果型
